
eta	rho/rho_1	v/v_1	P/P_1	T/T_1	M(eta)
------------------------------------------------------------

0.01000	0.00000000034407	0.00800000000000	0.30619521322564	889912449.26265084743500	0.00000000000000
0.02000	0.00000000775925	0.01600000000004	0.30619521322851	39461948.26809950172901	0.00000000000010
0.03000	0.00000004810864	0.02400000000087	0.30619521326611	6364661.68368619121611	0.00000000000208
0.04000	0.00000017556894	0.03200000000752	0.30619521348837	1744017.00687344139442	0.00000000001798
0.05000	0.00000047922842	0.04000000004007	0.30619521434626	638933.76185608259402	0.00000000009585
0.06000	0.00000108857463	0.04800000015727	0.30619521689126	281280.86683472705772	0.00000000037621
0.07000	0.00000217830536	0.05600000049974	0.30619522320962	140565.79446735515376	0.00000000119545
0.08000	0.00000397267046	0.06400000136045	0.30619523700785	77075.41813498450210	0.00000000325441
0.09000	0.00000674945841	0.07200000329100	0.30619526436366	45365.90131346859562	0.00000000787257
0.10000	0.00001084370507	0.08000000725286	0.30619531465595	28237.14890101009951	0.00000001734993
0.11000	0.00001665117516	0.08800001482362	0.30619540168615	18388.81632640727548	0.00000003546033
0.12000	0.00002463165500	0.09600002846876	0.30619554500257	12430.97733438853356	0.00000006810157
0.13000	0.00003531208449	0.10400005189007	0.30619577143888	8671.13272598401636	0.00000012412895
0.14000	0.00004928955117	0.11200009046267	0.30619611687706	6212.19121768334935	0.00000021640058
0.15000	0.00006723416412	0.12000015177268	0.30619662824512	4554.18212225622938	0.00000036306380
0.16000	0.00008989182364	0.12800024626861	0.30619736575895	3406.28717227445122	0.00000058911336
0.17000	0.00011808689931	0.13600038803967	0.30619840541797	2592.99217111307416	0.00000092825353
0.18000	0.00015272482890	0.14400059573491	0.30619984176348	2004.91199742873619	0.00000142509708
0.19000	0.00019479464916	0.15200089363738	0.30620179090867	1571.92095486300468	0.00000213773555
0.20000	0.00024537146933	0.16000131290822	0.30620439384913	1247.92175180204799	0.00000314071615
0.21000	0.00030561889850	0.16800189301568	0.30620782006254	1001.92698018707745	0.00000452846205
0.22000	0.00037679143820	0.17600268336493	0.30621227140626	812.68372993788432	0.00000641917357
0.23000	0.00046023685249	0.18400374514446	0.30621798632167	665.34868875077223	0.00000895924931
0.24000	0.00055739852902	0.19200515340570	0.30622524435444	549.38294310725041	0.00001232826726
0.25000	0.00066981784596	0.20000699939266	0.30623437100001	457.19052254089308	0.00001674456709
0.26000	0.00079913656180	0.20800939313883	0.30624574288428	383.22078793833145	0.00002247147644
0.27000	0.00094709924699	0.21601246634899	0.30625979329010	323.36610367093158	0.00002982422500
0.28000	0.00111555577933	0.22401637558397	0.30627701804099	274.55105671662108	0.00003917759214
0.29000	0.00130646392805	0.23202130576674	0.30629798175466	234.44809701901718	0.00005097433516
0.30000	0.00152189205514	0.24002747402857	0.30632332448037	201.27795755641378	0.00006573444741
0.31000	0.00176402196655	0.24803513391448	0.30635376873574	173.66777429336688	0.00008406529748
0.32000	0.00203515195054	0.25604457996748	0.30639012696079	150.54901766856381	0.00010667270325
0.33000	0.00233770004582	0.26405615271136	0.30643330940960	131.08324567006810	0.00013437299716
0.34000	0.00267420758788	0.27207024405248	0.30648433250283	114.60753229941420	0.00016810614265
0.35000	0.00304734308861	0.28008730312102	0.30654432766808	100.59396620414708	0.00020894996524
0.36000	0.00345990651191	0.28810784257272	0.30661455069930	88.61931663304406	0.00025813556607
0.37000	0.00391483401585	0.29613244537251	0.30669639167134	78.34211883048405	0.00031706399122
0.38000	0.00441520324191	0.30416177208162	0.30679138545185	69.48522381480959	0.00038732423570
0.39000	0.00496423924153	0.31219656867045	0.30690122285925	61.82240781063023	0.00047071266822
0.40000	0.00556532114244	0.32023767487932	0.30702776252366	55.16802259307670	0.00056925397121
0.41000	0.00622198966986	0.32828603315020	0.30717304351678	49.36894141831132	0.00068522369972
0.42000	0.00693795565258	0.33634269815215	0.30733929882734	44.29825069767506	0.00082117257449
0.43000	0.00771710966013	0.34440884692407	0.30752896977094	39.85027857769698	0.00097995263725
0.44000	0.00856353293609	0.35248578965807	0.30774472143719	35.93665415126906	0.00116474541142
0.45000	0.00948150981318	0.36057498114735	0.30798945929324	32.48316622160919	0.00137909222946
0.46000	0.01047554181982	0.36867803292202	0.30826634708130	29.42724609221935	0.00162692690826
0.47000	0.01155036371454	0.37679672609668	0.30857882616899	26.71594018988344	0.00191261097812
0.48000	0.01271096171532	0.38493302495269	0.30893063653562	24.30426929563780	0.00224097169859
0.49000	0.01396259422629	0.39308909127779	0.30932583960550	22.15389451216985	0.00261734312654
0.50000	0.01531081540403	0.40126729948464	0.30976884317104	20.23202781802397	0.00304761053945
0.51000	0.01676150195221	0.40947025252812	0.31026442868499	18.51053858834482	0.00353825855996
0.52000	0.01832088358660	0.41770079863930	0.31081778124306	16.96521784956133	0.00409642337835
0.53000	0.01999557767418	0.42596204889088	0.31143452262570	15.57517005512097	0.00472994952779
0.54000	0.02179262862168	0.43425739560473	0.31212074782307	14.32230839342431	0.00544745173511
0.55000	0.02371955267217	0.44259053160695	0.31288306553009	13.19093449418859	0.00625838244864
0.56000	0.02578438886558	0.45096547032833	0.31372864317081	12.16738720496300	0.00717310573605
0.57000	0.02799575703254	0.45938656673914	0.31466525709465	11.23974810643284	0.00820297835214
0.58000	0.03036292382437	0.46785853909488	0.31570134868317	10.39759380583134	0.00936043890048
0.59000	0.03289587793812	0.47638649145431	0.31684608721638	9.63178693125112	0.01065910615793
0.60000	0.03560541588023	0.48497593691180	0.31810944047552	8.93429925227058	0.01211388780082
