
eta	rho/rho_1	v/v_1	P/P_1	T/T_1	M(eta)
------------------------------------------------------------

0.00001	0.00000000000000	0.00000800000000	0.30619521322561	inf	0.00000000000000
0.00002	0.00000000000000	0.00001600000000	0.30619521322561	inf	0.00000000000000
0.00003	0.00000000000000	0.00002400000000	0.30619521322561	inf	0.00000000000000
0.00004	0.00000000000000	0.00003200000000	0.30619521322561	inf	0.00000000000000
0.00005	0.00000000000000	0.00004000000000	0.30619521322561	inf	0.00000000000000
0.00006	0.00000000000000	0.00004800000000	0.30619521322561	inf	0.00000000000000
0.00007	0.00000000000000	0.00005600000000	0.30619521322561	inf	0.00000000000000
0.00008	0.00000000000000	0.00006400000000	0.30619521322561	inf	0.00000000000000
0.00009	0.00000000000000	0.00007200000000	0.30619521322561	inf	0.00000000000000
0.00010	0.00000000000000	0.00008000000000	0.30619521322561	inf	0.00000000000000
0.00011	0.00000000000000	0.00008800000000	0.30619521322561	inf	0.00000000000000
0.00012	0.00000000000000	0.00009600000000	0.30619521322561	inf	0.00000000000000
0.00013	0.00000000000000	0.00010400000000	0.30619521322561	inf	0.00000000000000
0.00014	0.00000000000000	0.00011200000000	0.30619521322561	inf	0.00000000000000
0.00015	0.00000000000000	0.00012000000000	0.30619521322561	inf	0.00000000000000
0.00016	0.00000000000000	0.00012800000000	0.30619521322561	inf	0.00000000000000
0.99981	0.99772332632533	0.99962006320100	0.99848193841594	1.00076034314383	0.99772302918613
0.99982	0.99784298558405	0.99964005672211	0.99856173983419	1.00072030796480	0.99784271886721
0.99983	0.99796266323143	0.99966005059362	0.99864155197162	1.00068027468883	0.99796242529773
0.99984	0.99808235927085	0.99968004481553	0.99872137482994	1.00064024331574	0.99808214848048
0.99985	0.99820207370574	0.99970003938779	0.99880120841086	1.00060021384537	0.99820188841829
0.99986	0.99832180653949	0.99972003431040	0.99888105271608	1.00056018627754	0.99832164511395
0.99987	0.99844155777551	0.99974002958333	0.99896090774732	1.00052016061208	0.99844141857027
0.99988	0.99856132741723	0.99976002520655	0.99904077350632	1.00048013684881	0.99856120879009
0.99989	0.99868111546794	0.99978002118005	0.99912064999470	1.00044011498761	0.99868101577610
0.99990	0.99880092193119	0.99980001750379	0.99920053721427	1.00040009502825	0.99880083953124
0.99991	0.99892074681032	0.99982001417776	0.99928043516669	1.00036007697060	0.99892068005826
0.99992	0.99904059010874	0.99984001120194	0.99936034385369	1.00032006081446	0.99904053735997
0.99993	0.99916045182987	0.99986000857630	0.99944026327698	1.00028004655969	0.99916041143919
0.99994	0.99928033197711	0.99988000630082	0.99952019343827	1.00024003420610	0.99928030229873
0.99995	0.99940023055388	0.99990000437547	0.99960013433928	1.00020002375353	0.99940020994139
0.99996	0.99952014756359	0.99992000280024	0.99968008598171	1.00016001520181	0.99952013436999
0.99997	0.99964008300964	0.99994000157510	0.99976004836729	1.00012000855076	0.99964007558735
0.99998	0.99976003689545	0.99996000070003	0.99984002149772	1.00008000380022	0.99976003359625
0.99999	0.99988000922444	0.99998000017500	0.99992000537472	1.00004000095003	0.99988000839954

 eta_0 = 1.15167115209599
