
eta	rho/rho_1	v/v_1	P/P_1	T/T_1	M(eta)
------------------------------------------------------------

0.00001	0.00000000000000	0.00000999950005	0.49995568885612	inf	0.00000000000000
0.00002	0.00000000000000	0.00001999900010	0.49995568885612	inf	0.00000000000000
0.00003	0.00000000000000	0.00002999850015	0.49995568885612	inf	0.00000000000000
0.00004	0.00000000000000	0.00003999800020	0.49995568885612	inf	0.00000000000000
0.00005	0.00000000000000	0.00004999750025	0.49995568885612	inf	0.00000000000000
0.00006	0.00000000000000	0.00005999700030	0.49995568885612	inf	0.00000000000000
0.00007	0.00000000000000	0.00006999650035	0.49995568885612	inf	0.00000000000000
0.00008	0.00000000000000	0.00007999600040	0.49995568885612	inf	0.00000000000000
0.00009	0.00000000000000	0.00008999550045	0.49995568885612	inf	0.00000000000000
0.00010	0.00000000000000	0.00009999500050	0.49995568885612	inf	0.00000000000000
0.00011	0.00000000000000	0.00010999450055	0.49995568885612	inf	0.00000000000000
0.00012	0.00000000000000	0.00011999400060	0.49995568885612	inf	0.00000000000000
0.00013	0.00000000000000	0.00012999350065	0.49995568885612	inf	0.00000000000000
0.00014	0.00000000000000	0.00013999300070	0.49995568885612	inf	0.00000000000000
0.00015	0.00000000000000	0.00014999250075	0.49995568885612	inf	0.00000000000000
0.00016	0.00000000000000	0.00015999200080	0.49995568885612	inf	0.00000000000000
0.99981	0.00083889867012	0.99976018159565	0.50079286733137	596.96466947648025	0.00167395485838
0.99982	0.00113378580742	0.99977023957538	0.50108650956265	441.95870708658362	0.00226112076675
0.99983	0.00153295653142	0.99978031802059	0.50148345705617	327.13481874936480	0.00305486330700
0.99984	0.00207380955186	0.99979042409302	0.50202031130577	242.07638105206175	0.00412837613351
0.99985	0.00280758770985	0.99980056746053	0.50274685640727	179.06719517404440	0.00558121563604
0.99986	0.00380486160595	0.99981076117396	0.50373098546884	132.39140805561340	0.00754915309302
0.99987	0.00516348185622	0.99982102285093	0.50506561662099	97.81493005782502	0.01021800581600
0.99988	0.00702035207227	0.99983137627372	0.50687852513633	72.20129701729984	0.01384330019037
0.99989	0.00956930509494	0.99984185354635	0.50934654973712	53.22711990933540	0.01877868256430
0.99990	0.01308908554296	0.99985249800625	0.51271654703360	39.17130385852731	0.02551782549654
0.99991	0.01798875874467	0.99986336815485	0.51733711109874	28.75891096444546	0.03475786274118
0.99992	0.02488456601147	0.99987454296322	0.52370815599506	21.04550088411185	0.04749854721707
0.99993	0.03473652905479	0.99988612903409	0.53256153134679	15.33145497947720	0.06520346969254
0.99994	0.04910555247513	0.99989827026955	0.54499851723222	11.09851105958494	0.09007502553507
0.99995	0.07067135477537	0.99991116092079	0.56273837503444	7.96275063387554	0.12555147204451
0.99996	0.10436606007623	0.99992506320273	0.58860093823569	5.63977348388702	0.17727202046570
0.99997	0.16012955726039	0.99994033106912	0.62753174052876	3.91890011603732	0.25512690039701
0.99998	0.26060327235815	0.99995744229960	0.68905113089555	2.64406169830665	0.37815514444162
0.99999	0.46723874813634	0.99997704179791	0.79413945947372	1.69964383870404	0.58831379176823

 eta_0 = 0.19722616899519
